periode_data,periode_pemantauan,bulan_sampling,titik_sampel,nama_sungai,alamat,latitude,longitude,jenis_parameter,parameter,baku_mutu,hasil_pengukuran
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Kimia,Amoniak,0.2,12.1
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Kimia,"Total N",15,19.96
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Kimia,Ni,0.05,0.02
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Kimia,Sianida,0.02,0.017
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Fisika,TDS,1000,266.5
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Fisika,TSS,50,32
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,pH,6.9,7.135
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,BOD,3,16.03
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,COD,25,85
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,DO,4,2.15
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,Nitrat,10,0.6
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,Nitrit,0.06,0.04
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,"Total P",0.2,1.8
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,F,1.5,0.03
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,H2S,0.002,0.062
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,"Klorin Bebas",0.03,0.04
